username,location,following,followers,totaltweets,whentweetcreated,retweets,text
Anl0690,"Ankara, Türkiye",456,912,77951,2021-01-03 23:38:41,561,"Öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın, öyle şeyler yap ki adını hiç kimse unutmasın, unutamasın. Ziraat Bankası, güler yüzüyle 157 yıldır bir bankadan daha fazlası. #ZiraatBankası #BirBankadanDahaFazlası #SenHepGülümse https://t.co/AxkdUcMKHy"
FuatBurkay,Republic of Garga,462,411,1943,2021-01-03 21:14:38,0,"Ziraat Bankası bir reklam yapmış Tüylerim tek tek dikildi sen bir dünya’yı güldürdün..

ışıklarda olsun Kemal Sunal #Senhepgülümse 

Teşekkürler @ziraatbankasi !"
seyhancakmaak,,357,173,219,2021-01-03 21:09:17,0,"Ziraat bankasının , Kemal Sunal konseptli reklamını izlediniz mi? Şahane olmuş 🥺❣️#SenHepGülümse"
burcinksc,,75,69,1075,2021-01-03 21:08:21,0,Ziraat bankası’nın #senhepgülümse reklamı sen hayatımda gördüğüm en harika reklamsın..❤️
birisik_merve,,86,40,77,2021-01-03 20:18:39,560,"Öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın, öyle şeyler yap ki adını hiç kimse unutmasın, unutamasın. Ziraat Bankası, güler yüzüyle 157 yıldır bir bankadan daha fazlası. #ZiraatBankası #BirBankadanDahaFazlası #SenHepGülümse https://t.co/AxkdUcMKHy"
aliack01,,264,247,1061,2021-01-03 19:56:49,0,"Çok iyi reklam olmuş.
insanları kalbinden vurarak duygularını sömürmek zaten bankacılığın rotası olmuş.Oysa şube ziyaretlerinde bunu hissedemiyoruz.Kemal Sunal bu ülkenin değeridir.Allah rahmet eylesin.@SunalAli artık babasının bu şekilde kullanılmasına son vermeli #SenHepGülümse"
cansu45kivircik,"Manisa, Türkiye",110,284,918,2021-01-03 19:47:11,560,"Öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın, öyle şeyler yap ki adını hiç kimse unutmasın, unutamasın. Ziraat Bankası, güler yüzüyle 157 yıldır bir bankadan daha fazlası. #ZiraatBankası #BirBankadanDahaFazlası #SenHepGülümse https://t.co/AxkdUcMKHy"
muratyaniks,İstanbul,206,71,371,2021-01-03 19:32:11,7,"Çok uğraştık, ama oldu.. Büyük ustaya saygıyla... #senhepgülümse @HPPistanbul https://t.co/VAajgCAQP6"
KaniSeven,,18,1,6,2021-01-03 19:28:57,560,"Öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın, öyle şeyler yap ki adını hiç kimse unutmasın, unutamasın. Ziraat Bankası, güler yüzüyle 157 yıldır bir bankadan daha fazlası. #ZiraatBankası #BirBankadanDahaFazlası #SenHepGülümse https://t.co/AxkdUcMKHy"
DalgTekin,,446,169,8949,2021-01-03 18:26:47,560,"Öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın, öyle şeyler yap ki adını hiç kimse unutmasın, unutamasın. Ziraat Bankası, güler yüzüyle 157 yıldır bir bankadan daha fazlası. #ZiraatBankası #BirBankadanDahaFazlası #SenHepGülümse https://t.co/AxkdUcMKHy"
Rapunzeeeeellll,Arsuz/Hatay,393,645,6696,2021-01-03 18:08:11,0,Reklam gibi reklam bee başa sarıp sarıp izleyesim geliyor 😍 Sevgi ve hasretle  büyük usta #senhepgülümse https://t.co/DUeH1nleKs
erremrre,Sakarya,216,127,437,2021-01-03 17:25:14,0,"Ailem, mahallem, yurdum, milletim.
#senhepgülümse
#KemalSunal
👏🏻👏🏻👏🏻"
dePjae,"İstanbul, Türkiye",142,80,5299,2021-01-03 16:32:10,560,"Öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın, öyle şeyler yap ki adını hiç kimse unutmasın, unutamasın. Ziraat Bankası, güler yüzüyle 157 yıldır bir bankadan daha fazlası. #ZiraatBankası #BirBankadanDahaFazlası #SenHepGülümse https://t.co/AxkdUcMKHy"
feslosum,,339,550,9981,2021-01-03 16:29:46,560,"Öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın, öyle şeyler yap ki adını hiç kimse unutmasın, unutamasın. Ziraat Bankası, güler yüzüyle 157 yıldır bir bankadan daha fazlası. #ZiraatBankası #BirBankadanDahaFazlası #SenHepGülümse https://t.co/AxkdUcMKHy"
EmineKaraer10,Ankara,1494,1347,19895,2021-01-03 16:11:09,560,"Öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın, öyle şeyler yap ki adını hiç kimse unutmasın, unutamasın. Ziraat Bankası, güler yüzüyle 157 yıldır bir bankadan daha fazlası. #ZiraatBankası #BirBankadanDahaFazlası #SenHepGülümse https://t.co/AxkdUcMKHy"
KbSonsuza,KB ,52,336,27844,2021-01-03 15:52:02,560,"Öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın, öyle şeyler yap ki adını hiç kimse unutmasın, unutamasın. Ziraat Bankası, güler yüzüyle 157 yıldır bir bankadan daha fazlası. #ZiraatBankası #BirBankadanDahaFazlası #SenHepGülümse https://t.co/AxkdUcMKHy"
talatcan_guzel,Cyprus-Muğla/Türkiye🇹🇷,3222,3373,718,2021-01-03 15:48:11,0,"İzleyince duygulanan bir ben değilimdir sanırım..  #SenHepGülümse 
#KemalSunal https://t.co/bbqFZth2RJ"
dakkvindak,"İstanbul, Türkiye",502,3042,2520,2021-01-03 15:40:09,0,Zirat bankası reklamı çok güzelsin bee #kemalsunal #senhepgülümse
thr_thrn,Denizli,1215,1608,20445,2021-01-03 15:16:17,1,"Ziraat bankasının reklamı Muhteşem değil mi?
Mekanı cennet olsun 🙏
Her izlediğimde gülen yüzüm dolan gözlerim.
#SenHepGülümse
#KemalSunal"
melike_kivrak,"Tekirdağ, Türkiye",170,197,691,2021-01-03 15:12:54,561,"Öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın, öyle şeyler yap ki adını hiç kimse unutmasın, unutamasın. Ziraat Bankası, güler yüzüyle 157 yıldır bir bankadan daha fazlası. #ZiraatBankası #BirBankadanDahaFazlası #SenHepGülümse https://t.co/AxkdUcMKHy"
KaguyaTotoro,,29,72,2857,2021-01-03 15:02:29,561,"Öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın, öyle şeyler yap ki adını hiç kimse unutmasın, unutamasın. Ziraat Bankası, güler yüzüyle 157 yıldır bir bankadan daha fazlası. #ZiraatBankası #BirBankadanDahaFazlası #SenHepGülümse https://t.co/AxkdUcMKHy"
DygTy,,781,994,8343,2021-01-03 14:40:36,0,"Karmakarışık duygular yaşatan bir reklam.. Gülerken gözlerimizin dolu dolu olması.. Sen hep gül Kemal abi, senin gülüşüne ihtiyacımız var❤️
#Senhepgülümse #KemalSunal https://t.co/tN0OEuKpMC"
CansuKavasoglu,"Çanakkale, Türkiye",2129,2112,8293,2021-01-03 14:24:49,0,"Ah reklamın güzelliği.. 🙏 
#senhepgülümse https://t.co/AjSvxN2Z8Z"
arasm01,"Adana, Türkiye",67,79,590,2021-01-03 14:21:49,2,"#SenHepGülümse Rahmet'le anıyoruz.. Ve Gülümsüyoruz.
#KemalSunal #şaban https://t.co/4TwzlttlyN"
mehmetarass01,"Seyhan, Adana",113,189,3763,2021-01-03 14:21:25,2,"#SenHepGülümse Rahmet'le anıyoruz.. Ve Gülümsüyoruz.
#KemalSunal #şaban https://t.co/4TwzlttlyN"
LETT061,,44,13,133,2021-01-03 14:19:54,561,"Öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın, öyle şeyler yap ki adını hiç kimse unutmasın, unutamasın. Ziraat Bankası, güler yüzüyle 157 yıldır bir bankadan daha fazlası. #ZiraatBankası #BirBankadanDahaFazlası #SenHepGülümse https://t.co/AxkdUcMKHy"
ozgunmenevsoglu,,333,323,1352,2021-01-03 13:47:57,0,Reklam gibi reklam yapmışlar. Helal olsun. @ziraatbankasi #senhepgülümse
Che_pelii,,1365,1808,4299,2021-01-03 13:47:50,1,"Ziraat bankasının reklamı Muhteşem değil mi?
Mekanı cennet olsun 🙏
Her izlediğimde gülen yüzüm dolan gözlerim.
#SenHepGülümse
#KemalSunal"
mehmetugurcelik,"Eskişehir, Türkiye 📍",599,965,1670,2021-01-03 13:38:53,561,"Öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın, öyle şeyler yap ki adını hiç kimse unutmasın, unutamasın. Ziraat Bankası, güler yüzüyle 157 yıldır bir bankadan daha fazlası. #ZiraatBankası #BirBankadanDahaFazlası #SenHepGülümse https://t.co/AxkdUcMKHy"
Nomade_inTr,Başkentin biri,66,66,514,2021-01-03 13:22:48,0,Güzel reklam olmuş 😊 #SenHepGueluemse https://t.co/7SaPUpwtcZ
Legacypxa,,7,2,30,2021-01-03 13:04:25,561,"Öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın, öyle şeyler yap ki adını hiç kimse unutmasın, unutamasın. Ziraat Bankası, güler yüzüyle 157 yıldır bir bankadan daha fazlası. #ZiraatBankası #BirBankadanDahaFazlası #SenHepGülümse https://t.co/AxkdUcMKHy"
Ahmetlmbz,,289,178,3497,2021-01-03 13:02:37,561,"Öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın, öyle şeyler yap ki adını hiç kimse unutmasın, unutamasın. Ziraat Bankası, güler yüzüyle 157 yıldır bir bankadan daha fazlası. #ZiraatBankası #BirBankadanDahaFazlası #SenHepGülümse https://t.co/AxkdUcMKHy"
atac_basar,"İstanbul, Türkiye",1554,208,4608,2021-01-03 13:00:43,0,"#senhepgülümse 🇹🇷🇹🇷🇹🇷
 Çok güzel bir reklam olmuş #kemalsunal https://t.co/ZiAMLmEbEs"
caglanur_n,,54,43,52,2021-01-03 12:44:05,561,"Öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın, öyle şeyler yap ki adını hiç kimse unutmasın, unutamasın. Ziraat Bankası, güler yüzüyle 157 yıldır bir bankadan daha fazlası. #ZiraatBankası #BirBankadanDahaFazlası #SenHepGülümse https://t.co/AxkdUcMKHy"
altinbasmelih,,414,710,4182,2021-01-03 11:52:17,561,"Öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın, öyle şeyler yap ki adını hiç kimse unutmasın, unutamasın. Ziraat Bankası, güler yüzüyle 157 yıldır bir bankadan daha fazlası. #ZiraatBankası #BirBankadanDahaFazlası #SenHepGülümse https://t.co/AxkdUcMKHy"
Ahize_ve_kablo,,2542,155,1362,2021-01-03 11:45:47,561,"Öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın, öyle şeyler yap ki adını hiç kimse unutmasın, unutamasın. Ziraat Bankası, güler yüzüyle 157 yıldır bir bankadan daha fazlası. #ZiraatBankası #BirBankadanDahaFazlası #SenHepGülümse https://t.co/AxkdUcMKHy"
Hatice_coruk,,547,361,1641,2021-01-03 11:22:28,2,"Ziraat Bankası'nın #KemalSunal reklamını izledim. Dehşete düştüm. Sisteme insanı sömürmek yetmiyor resmen ölüyü sömürmeye başlamışlar. Ölülerimizi rahat bırakın lan
#SenHepGülümse https://t.co/PHpI2zaxHS"
memmed_memmedli,Azerbaijan,264,184,1462,2021-01-03 10:56:46,561,"Öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın, öyle şeyler yap ki adını hiç kimse unutmasın, unutamasın. Ziraat Bankası, güler yüzüyle 157 yıldır bir bankadan daha fazlası. #ZiraatBankası #BirBankadanDahaFazlası #SenHepGülümse https://t.co/AxkdUcMKHy"
MehmetEminOzs17,"Kuşadası, Türkiye",3340,7448,76394,2021-01-03 10:32:04,561,"Öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın, öyle şeyler yap ki adını hiç kimse unutmasın, unutamasın. Ziraat Bankası, güler yüzüyle 157 yıldır bir bankadan daha fazlası. #ZiraatBankası #BirBankadanDahaFazlası #SenHepGülümse https://t.co/AxkdUcMKHy"
merveekm,,215,132,334,2021-01-03 10:22:07,561,"Öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın, öyle şeyler yap ki adını hiç kimse unutmasın, unutamasın. Ziraat Bankası, güler yüzüyle 157 yıldır bir bankadan daha fazlası. #ZiraatBankası #BirBankadanDahaFazlası #SenHepGülümse https://t.co/AxkdUcMKHy"
HGlgner,,79,84,2449,2021-01-03 10:13:25,32,Çok özledik be Kemal abi #SenHepGülümse https://t.co/9RVDmj5JX8
_ecemcakmak,"İzmir, Türkiye",11247,17457,6484,2021-01-03 10:11:24,561,"Öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın, öyle şeyler yap ki adını hiç kimse unutmasın, unutamasın. Ziraat Bankası, güler yüzüyle 157 yıldır bir bankadan daha fazlası. #ZiraatBankası #BirBankadanDahaFazlası #SenHepGülümse https://t.co/AxkdUcMKHy"
erkinsestv,Türkiye,2,96,404,2021-01-03 09:38:59,0,"Kemal Sunal, Türkiye'ye gülümsemeyi hatırlattı - Ziraat Bankası reklam filmi
https://t.co/pAQ0qHEklo
 #KemalSunal #ZiraatBankası #SenHepGülümse #Yeşilçam #GüldürGüldür #Türkiyem #TürkMilleti https://t.co/NB4EwSqgvx"
umutmust7,"Antalya, Türkiye",489,792,10066,2021-01-03 09:26:11,32,Çok özledik be Kemal abi #SenHepGülümse https://t.co/9RVDmj5JX8
Haticey_y,Rize/ İstanbul,49,122,20887,2021-01-03 09:24:59,2,"Ziraat Bankası'nın #KemalSunal reklamını izledim. Dehşete düştüm. Sisteme insanı sömürmek yetmiyor resmen ölüyü sömürmeye başlamışlar. Ölülerimizi rahat bırakın lan
#SenHepGülümse https://t.co/PHpI2zaxHS"
hilmininyeri,Türkiye,4169,4122,6057,2021-01-03 09:23:24,2,"Ziraat Bankası'nın #KemalSunal reklamını izledim. Dehşete düştüm. Sisteme insanı sömürmek yetmiyor resmen ölüyü sömürmeye başlamışlar. Ölülerimizi rahat bırakın lan
#SenHepGülümse https://t.co/PHpI2zaxHS"
ABDPOSTCOM,"New Jersey, USA",2288,1072,28942,2021-01-03 08:27:17,0,"Kemal Sunal, Ziraat Bankası Reklamında! Ziraat Bankası'nın Kemal Sunal'lı reklamı son günlerin en çok konuşulan konusu oldu. #SenHepGülümse başlığı ile lanse edilen reklam filminde Mehmet Kurt, Yeşilçam'ın ustası Kemal Sunal'a m https://t.co/72nlqCHW4a https://t.co/TV75ddK5US"
ylmzff,Dardayım,241,79,716,2021-01-03 07:29:44,561,"Öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın, öyle şeyler yap ki adını hiç kimse unutmasın, unutamasın. Ziraat Bankası, güler yüzüyle 157 yıldır bir bankadan daha fazlası. #ZiraatBankası #BirBankadanDahaFazlası #SenHepGülümse https://t.co/AxkdUcMKHy"
gursoyarda89,"Bursa, Türkiye",138,209,2294,2021-01-03 05:54:57,0,"Ziraat Bankası 157. Yıl ""Kemal Sunal"" https://t.co/3DiVuUMYVR @YouTube aracılığıyla

Tüylerim diken diken oldu
#senhepgülümse"
_blackeaglel903,,126,28,724,2021-01-02 23:57:24,7,"Çok uğraştık, ama oldu.. Büyük ustaya saygıyla... #senhepgülümse @HPPistanbul https://t.co/VAajgCAQP6"
ceycylan,,570,547,1426,2021-01-02 22:32:35,0,Nasıl güzel bir reklamsın öyle #SenHepGülümse 🤗 https://t.co/PrUGdbFqVU
ozaanyldrm,,4,130,11,2021-01-02 22:29:36,561,"Öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın, öyle şeyler yap ki adını hiç kimse unutmasın, unutamasın. Ziraat Bankası, güler yüzüyle 157 yıldır bir bankadan daha fazlası. #ZiraatBankası #BirBankadanDahaFazlası #SenHepGülümse https://t.co/AxkdUcMKHy"
alpsteiin,,124,59,354,2021-01-02 22:22:18,561,"Öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın, öyle şeyler yap ki adını hiç kimse unutmasın, unutamasın. Ziraat Bankası, güler yüzüyle 157 yıldır bir bankadan daha fazlası. #ZiraatBankası #BirBankadanDahaFazlası #SenHepGülümse https://t.co/AxkdUcMKHy"
_hamitaydin,République Démocratique Du Con,275,156,664,2021-01-02 22:00:48,561,"Öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın, öyle şeyler yap ki adını hiç kimse unutmasın, unutamasın. Ziraat Bankası, güler yüzüyle 157 yıldır bir bankadan daha fazlası. #ZiraatBankası #BirBankadanDahaFazlası #SenHepGülümse https://t.co/AxkdUcMKHy"
brscnozy,Mersin - Bursa,395,1777,26298,2021-01-02 21:50:11,561,"Öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın, öyle şeyler yap ki adını hiç kimse unutmasın, unutamasın. Ziraat Bankası, güler yüzüyle 157 yıldır bir bankadan daha fazlası. #ZiraatBankası #BirBankadanDahaFazlası #SenHepGülümse https://t.co/AxkdUcMKHy"
erdemkaratas12,"Kurtköy, İstanbul",44,130,1817,2021-01-02 21:43:31,561,"Öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın, öyle şeyler yap ki adını hiç kimse unutmasın, unutamasın. Ziraat Bankası, güler yüzüyle 157 yıldır bir bankadan daha fazlası. #ZiraatBankası #BirBankadanDahaFazlası #SenHepGülümse https://t.co/AxkdUcMKHy"
UgurCag77373589,Türkiye,208,9,395,2021-01-02 21:36:25,561,"Öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın, öyle şeyler yap ki adını hiç kimse unutmasın, unutamasın. Ziraat Bankası, güler yüzüyle 157 yıldır bir bankadan daha fazlası. #ZiraatBankası #BirBankadanDahaFazlası #SenHepGülümse https://t.co/AxkdUcMKHy"
arzudlk,İstanbul,94,96,439,2021-01-02 21:31:19,561,"Öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın, öyle şeyler yap ki adını hiç kimse unutmasın, unutamasın. Ziraat Bankası, güler yüzüyle 157 yıldır bir bankadan daha fazlası. #ZiraatBankası #BirBankadanDahaFazlası #SenHepGülümse https://t.co/AxkdUcMKHy"
_bercestem_,"Konya, Türkiye  ",853,529,921,2021-01-02 21:22:40,0,"Kemal Sunal'ı görünce bir gülümse olmadı değil
#SenHepGülümse https://t.co/EanN2v0YPW"
NMuslera1,Fethiye,829,4449,67994,2021-01-02 21:13:36,561,"Öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın, öyle şeyler yap ki adını hiç kimse unutmasın, unutamasın. Ziraat Bankası, güler yüzüyle 157 yıldır bir bankadan daha fazlası. #ZiraatBankası #BirBankadanDahaFazlası #SenHepGülümse https://t.co/AxkdUcMKHy"
MiiyEnes,Amasya/Mersin,143,167,2024,2021-01-02 20:58:38,561,"Öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın, öyle şeyler yap ki adını hiç kimse unutmasın, unutamasın. Ziraat Bankası, güler yüzüyle 157 yıldır bir bankadan daha fazlası. #ZiraatBankası #BirBankadanDahaFazlası #SenHepGülümse https://t.co/AxkdUcMKHy"
Scoria1995,"İstanbul, Türkiye",55,57,684,2021-01-02 20:41:17,561,"Öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın, öyle şeyler yap ki adını hiç kimse unutmasın, unutamasın. Ziraat Bankası, güler yüzüyle 157 yıldır bir bankadan daha fazlası. #ZiraatBankası #BirBankadanDahaFazlası #SenHepGülümse https://t.co/AxkdUcMKHy"
Tomriskahan,"Amsterdam, Nederland",104,53,5603,2021-01-02 20:15:47,561,"Öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın, öyle şeyler yap ki adını hiç kimse unutmasın, unutamasın. Ziraat Bankası, güler yüzüyle 157 yıldır bir bankadan daha fazlası. #ZiraatBankası #BirBankadanDahaFazlası #SenHepGülümse https://t.co/AxkdUcMKHy"
Brkdemir4105,,121,44,265,2021-01-02 19:57:18,561,"Öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın, öyle şeyler yap ki adını hiç kimse unutmasın, unutamasın. Ziraat Bankası, güler yüzüyle 157 yıldır bir bankadan daha fazlası. #ZiraatBankası #BirBankadanDahaFazlası #SenHepGülümse https://t.co/AxkdUcMKHy"
reyhanirracim,"İzmir, Türkiye",119,111,270,2021-01-02 18:54:53,0,"kızın ""hem sen öyle güzel gülüyosun ki kemal abi, gülüşün unutulmuyo"" dediği yerde koptu film bende.. tüm eleştirilere rağmen #senhepgülümse #ziraatbankasi #kemalsunal https://t.co/JuCDPmlqmR"
f3llaini30,Gediz,95,91,260,2021-01-02 18:54:40,561,"Öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın, öyle şeyler yap ki adını hiç kimse unutmasın, unutamasın. Ziraat Bankası, güler yüzüyle 157 yıldır bir bankadan daha fazlası. #ZiraatBankası #BirBankadanDahaFazlası #SenHepGülümse https://t.co/AxkdUcMKHy"
hasanhuseyn45,"Manisa, Türkiye",210,244,133,2021-01-02 18:05:30,561,"Öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın, öyle şeyler yap ki adını hiç kimse unutmasın, unutamasın. Ziraat Bankası, güler yüzüyle 157 yıldır bir bankadan daha fazlası. #ZiraatBankası #BirBankadanDahaFazlası #SenHepGülümse https://t.co/AxkdUcMKHy"
selimuner,"Sakarya, Türkiye",170,53,153,2021-01-02 17:59:55,561,"Öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın, öyle şeyler yap ki adını hiç kimse unutmasın, unutamasın. Ziraat Bankası, güler yüzüyle 157 yıldır bir bankadan daha fazlası. #ZiraatBankası #BirBankadanDahaFazlası #SenHepGülümse https://t.co/AxkdUcMKHy"
hedegizem,,99,254,22260,2021-01-02 17:54:19,561,"Öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın, öyle şeyler yap ki adını hiç kimse unutmasın, unutamasın. Ziraat Bankası, güler yüzüyle 157 yıldır bir bankadan daha fazlası. #ZiraatBankası #BirBankadanDahaFazlası #SenHepGülümse https://t.co/AxkdUcMKHy"
